ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
1,1,2,-6.010750000000299,5.4131093716432914e-14,5.999999999999933,3.0320279620355e-13,3.467336799873321e-14,5.999999999999914,W 310x21,Beam,AÇO ASTM - A572 GR50,6.010750000000603,0.01636550479929905,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.45361422090818,1387351
2,2,3,0.0,3.464400691985613e-14,5.99999999999991,6.000000000000612,1.522108061179168e-14,5.999999999999891,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000612,0.01633246095443066,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.1942515337712,1387065
3,4,3,12.000000000001224,-3.967221371980084e-15,5.999999999999892,6.000000000000613,1.525044169066973e-14,5.999999999999889,W 310x21,Beam,AÇO ASTM - A572 GR50,6.00000000000061,0.01633503300008606,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.2144396406722,1388671
4,5,4,18.01075000000153,-2.3219316080949496e-14,5.999999999999899,12.000000000001226,-3.967221371980095e-15,5.999999999999897,W 310x21,Beam,AÇO ASTM - A572 GR50,6.010750000000304,0.016365504799298634,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.4536142209049,1388674
5,6,1,-6.010750000000304,5.413109371643293e-14,2.999999999999975,-6.010750000000299,5.4131093716432914e-14,5.999999999999933,HP 200x53,Column,AÇO ASTM - A572 GR50,2.9999999999999587,0.020459133875023863,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470070466703,1387320
6,6,2,-6.010750000000308,5.413109371643293e-14,2.9999999999998184,3.0320279620355e-13,3.467336799873321e-14,5.999999999999914,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.717820745041351,0.01555122983086457,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,122.06233182859818,1388596
7,7,2,4.84663372329749e-15,-1.5613884453994227e-29,2.9999999999998184,4.8158425477886234e-15,-2.3573436583473756e-29,5.9999999999997735,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182112,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794675,1386768
8,7,3,-0.010749999999986796,3.470816740836943e-14,2.999999999999799,6.000000000000612,1.5250441690669742e-14,5.999999999999891,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.717820745041335,0.015551229830864384,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,122.06233182859673,1386124
9,8,3,6.00000000000061,1.533145277399228e-14,2.999999999999954,6.000000000000615,1.5331452773992284e-14,6.000000000000016,HP 200x53,Column,AÇO ASTM - A572 GR50,3.000000000000062,0.020459133875023856,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470070466697,1386169
10,9,3,12.000000000001226,-3.8640589370714266e-14,2.9999999999997815,6.00000000000061,1.5250441690669742e-14,5.999999999999891,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499967,0.015528977729957108,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561955,1386125
