ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
1,2,1,17.222487515000466,-2.1006640839600706e-14,17.700000000000006,13.022487515000465,-7.554276695747203e-15,17.699999999999996,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.2,0.009727506019328466,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,76.35165067391625,1398273
2,4,3,24.48483542861666,-4.4391757806040566e-14,17.700000000000006,20.284835428616663,-3.093939366218707e-14,17.699999999999996,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.2,0.009727506019328463,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,76.35165067391623,1398484
3,5,1,15.122487515000463,-1.4280458767673947e-14,15.3,13.022487515000467,-7.554276695747207e-15,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390110702,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.00037007787791,1398271
4,5,2,15.122487515000465,-1.4280458767673956e-14,15.3,17.222487515000463,-2.1078482975495808e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390111005,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.0003700778803,1397369
5,6,3,22.38483542861666,-3.7665575734113814e-14,15.3,20.284835428616667,-3.0939393662187073e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390110651,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.00037007787752,1398482
6,6,4,22.38483542861666,-3.766557573411382e-14,15.3,24.48483542861666,-4.4463599941935675e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390110703,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.000370077877925,1398472
7,7,1,12.422487515000464,-5.632510389482426e-15,12.6,13.022487515000467,-7.554276695747218e-15,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480463,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337105,1398270
8,8,2,17.822487515000464,-2.302077560630207e-14,12.6,17.222487515000466,-2.1078482975495824e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480319,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978336991,1397291
9,9,3,19.684835428616665,-2.901762735592229e-14,12.6,20.284835428616663,-3.0939393662187086e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480591,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337206,1398481
10,10,4,25.084835428616657,-4.640589257274193e-14,12.6,24.48483542861666,-4.446359994193569e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480722,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337308,1398471
