ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
1,1,2,3.0382878685335846e-13,3.465174813754857e-14,2.999999999999955,6.000000000000306,1.5265213244357517e-14,2.999999999999955,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000002,0.01632087666127014,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.10332587379844,1372973
2,3,2,12.00000000000092,-3.98884123316374e-15,2.999999999999955,6.000000000000917,1.5265213244355555e-14,2.999999999999955,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000002,0.016320876661270144,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.10332587379847,1385672
3,4,1,-6.010750000000308,5.4131093716432945e-14,-5.085407602725358e-29,0.0,3.467336799873419e-14,3.0053749999998014,W 310x21,Beam,AÇO ASTM - A572 GR50,6.720222797878617,0.01830261657507191,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,143.6580953413783,1385083
4,7,3,18.010750000001533,-2.3219316080949496e-14,-5.085407602725358e-29,12.000000000001224,-3.967221371980083e-15,3.0053749999998014,W 310x21,Beam,AÇO ASTM - A572 GR50,6.720222797878617,0.01830261657507191,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,143.6580953413783,1385678
5,5,1,-2.0256719257514535e-37,-5.23637979100799e-50,1.9736191594953076e-20,-3.0791175508866043e-17,-7.95955212947953e-30,2.999999999999955,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182112,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794675,1373235
6,5,2,7.894476586814576e-21,2.367200483901697e-31,3.947238420362145e-21,6.00000000000061,1.533145277399228e-14,2.999999999999954,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499894,0.015528977729956945,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561827,1383927
7,6,2,12.000000000001224,-3.8640589370714266e-14,3.947238420362145e-21,6.000000000000613,1.5331452773992284e-14,2.999999999999954,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499894,0.015528977729957046,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561905,1385674
8,6,3,12.000000000001224,-3.8640589370714266e-14,1.9736191594953076e-20,12.000000000001224,-3.864058937071427e-14,2.999999999999955,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182445,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794936,1385673
9,5,4,7.894464031748695e-21,-2.5555642446851995e-35,-2.5507721068652027e-35,-6.010750000000308,1.9457725717698753e-14,1.9421269101542342e-14,W 310x21,Beam,AÇO ASTM - A572 GR50,6.010750000000308,0.01635012986150279,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.332935613522,1385392
10,6,7,12.000000000001224,-3.8640589370714266e-14,-2.5507721068652027e-35,18.010750000001533,-5.789268407968369e-14,1.9421269101542342e-14,W 310x21,Beam,AÇO ASTM - A572 GR50,6.010750000000308,0.01635012986150279,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.332935613522,1385679
11,8,4,-6.010750000000308,1.9355307486056714e-14,-2.9999999999998175,-6.010750000000308,1.9355307486056708e-14,1.3752412542089588e-13,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182053,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794626,1384711
12,8,5,-6.000000000000307,1.932029468535616e-14,-2.9999999999998175,3.0320279620355e-13,3.465174745934844e-14,1.3644125829159748e-13,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499894,0.015528977729956919,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561806,1384604
13,9,6,18.000000000001528,-5.796088405607042e-14,-2.9999999999998175,12.00000000000092,-3.988841911363872e-15,1.3644125829159748e-13,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499894,0.015528977729957039,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561901,1385676
14,9,7,18.010750000001533,-5.799510231132571e-14,-2.9999999999998175,18.010750000001533,-5.799510231132573e-14,1.3752412542089588e-13,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182445,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794936,1385677
