Section,Massa linear,Area,d,bf,b2,tw,t,y,yp,bf/2tf,b/t,Ix,Iy,J,ro,H3
W100X19.3,0.01930,2470,106,103,–,7.11,–,–,–,5.88,–,4700000,1610000,62900,–,–
W130X23.8,0.02380,3040,127,127,–,6.10,–,–,–,6.94,–,8910000,3130000,79900,–,–
W130X28.1,0.02810,3590,131,128,–,6.86,–,–,–,5.85,–,10900000,3800000,132000,–,–
W150X13,0.01300,1630,148,100,–,4.32,–,–,–,10.1,–,6200000,828000,13900,–,–
W150X13.5,0.01350,1730,150,100,–,4.32,–,–,–,9.16,–,6830000,916000,16900,–,–
W150X18,0.01800,2290,153,102,–,5.84,–,–,–,7.14,–,9200000,1240000,37600,–,–
W150X24,0.02400,3060,160,102,–,6.60,–,–,–,4.98,–,13400000,1840000,92800,–,–
W150X22.5,0.02250,2860,152,152,–,5.84,–,–,–,11.5,–,12100000,3880000,42000,–,–
W150X29.8,0.02980,3790,157,153,–,6.60,–,–,–,8.25,–,17200000,5540000,99900,–,–
W150X37.1,0.03710,4740,162,154,–,8.13,–,–,–,6.68,–,22200000,7120000,192000,–,–
W200X15,0.01500,1910,200,100,–,4.32,–,–,–,9.61,–,12800000,870000,17700,–,–
W200X19.3,0.01930,2480,203,102,–,5.84,–,–,–,7.84,–,16500000,1140000,36300,–,–
W200X22.5,0.02250,2860,206,102,–,6.22,–,–,–,6.37,–,20000000,1420000,57000,–,–
W200X26.6,0.02660,3390,207,133,–,5.84,–,–,–,7.95,–,25800000,3320000,71600,–,–
W200X31.3,0.03130,3970,210,134,–,6.35,–,–,–,6.59,–,31300000,4070000,117000,–,–
W200X35.9,0.03590,4570,201,165,–,6.22,–,–,–,8.12,–,34400000,7620000,144000,–,–
W200X41.7,0.04170,5320,205,166,–,7.24,–,–,–,7.03,–,40800000,9030000,224000,–,–
W200X46.1,0.04610,5890,203,203,–,7.24,–,–,–,9.19,–,45800000,15400000,223000,–,–
W200X52,0.05200,6650,206,204,–,7.87,–,–,–,8.10,–,52900000,17700000,320000,–,–
W200X59,0.05900,7550,210,205,–,9.14,–,–,–,7.21,–,60800000,20400000,466000,–,–
W200X71,0.07100,9100,216,206,–,10.2,–,–,–,5.92,–,76600000,25300000,816000,–,–
W200X86,0.08600,11000,222,209,–,13.0,–,–,–,5.07,–,94900000,31300000,1390000,–,–
W200X100,0.10000,12700,229,210,–,14.5,–,–,–,4.43,–,113000000,36900000,2100000,–,–
W250X17.9,0.01790,2280,251,101,–,4.83,–,–,–,9.43,–,22400000,907000,22800,–,–
W250X22.3,0.02230,2850,254,102,–,5.84,–,–,–,7.41,–,28700000,1200000,43300,–,–
W250X25.3,0.02530,3220,257,102,–,6.10,–,–,–,6.08,–,34100000,1480000,64900,–,–
W250X28.4,0.02840,3630,259,102,–,6.35,–,–,–,5.09,–,40100000,1790000,97000,–,–
W250X32.7,0.03270,4190,259,146,–,6.10,–,–,–,7.99,–,49100000,4750000,99500,–,–
W250X38.5,0.03850,4910,262,147,–,6.60,–,–,–,6.56,–,59900000,5870000,167000,–,–
W250X44.8,0.04480,5700,267,148,–,7.62,–,–,–,5.70,–,70800000,6950000,259000,–,–
W250X49.1,0.04910,6260,247,202,–,7.37,–,–,–,9.15,–,71200000,15200000,243000,–,–
W250X58,0.05800,7420,252,203,–,8.00,–,–,–,7.53,–,87000000,18700000,406000,–,–
W250X67,0.06700,8580,257,204,–,8.89,–,–,–,6.47,–,103000000,22200000,629000,–,–
W250X73,0.07300,9290,254,254,–,8.64,–,–,–,8.93,–,113000000,38900000,579000,–,–
W250X80,0.08000,10200,257,254,–,9.40,–,–,–,8.15,–,126000000,42900000,758000,–,–
W250X89,0.08900,11400,259,257,–,10.7,–,–,–,7.41,–,142000000,48300000,1030000,–,–
W250X101,0.10100,12800,264,257,–,11.9,–,–,–,6.58,–,164000000,55800000,1480000,–,–
W250X115,0.11500,14600,269,259,–,13.5,–,–,–,5.86,–,189000000,64100000,2130000,–,–
W250X131,0.13100,16800,274,262,–,15.4,–,–,–,5.18,–,222000000,74500000,3130000,–,–
W250X149,0.14900,18900,282,262,–,17.3,–,–,–,4.62,–,259000000,86200000,4540000,–,–
W250X167,0.16700,21200,290,264,–,19.2,–,–,–,4.17,–,298000000,98200000,6290000,–,–
W310X21,0.02100,2680,302,101,–,5.08,–,–,–,8.82,–,36900000,982000,29300,–,–
W310X23.8,0.02380,3040,305,101,–,5.59,–,–,–,7.53,–,42900000,1170000,42900,–,–
W310X28.3,0.02830,3590,310,102,–,5.97,–,–,–,5.72,–,54100000,1570000,74900,–,–
W310X32.7,0.03270,4180,312,102,–,6.60,–,–,–,4.74,–,64900000,1940000,122000,–,–
W310X38.7,0.03870,4940,310,165,–,5.84,–,–,–,8.54,–,84900000,7200000,125000,–,–
W310X44.5,0.04450,5670,312,166,–,6.60,–,–,–,7.41,–,99100000,8450000,190000,–,–
W310X52,0.05200,6650,318,167,–,7.62,–,–,–,6.31,–,119000000,10200000,308000,–,–
W310X60,0.06000,7550,302,203,–,7.49,–,–,–,7.77,–,128000000,18400000,377000,–,–
W310X67,0.06700,8450,307,204,–,8.51,–,–,–,7.00,–,145000000,20800000,524000,–,–
W310X74,0.07400,9420,310,205,–,9.40,–,–,–,6.31,–,163000000,23400000,712000,–,–
W310X79,0.07900,10100,307,254,–,8.76,–,–,–,8.69,–,177000000,39900000,658000,–,–
W310X86,0.08600,11000,310,254,–,9.14,–,–,–,7.82,–,198000000,44500000,874000,–,–
W310X97,0.09700,12300,307,305,–,9.91,–,–,–,9.92,–,222000000,72400000,907000,–,–
W310X107,0.10700,13600,312,305,–,10.9,–,–,–,8.99,–,248000000,81200000,1220000,–,–
W310X117,0.11700,15000,315,307,–,11.9,–,–,–,8.22,–,276000000,89900000,1600000,–,–
W310X129,0.12900,16500,318,307,–,13.1,–,–,–,7.48,–,308000000,100000000,2120000,–,–
W310X143,0.14300,18200,323,310,–,14.0,–,–,–,6.76,–,347000000,112000000,2850000,–,–
W310X158,0.15800,20100,328,310,–,15.5,–,–,–,6.17,–,388000000,125000000,3800000,–,–
W310X179,0.17900,22700,333,312,–,18.0,–,–,–,5.57,–,445000000,144000000,5370000,–,–
W310X202,0.20200,25700,340,315,–,20.1,–,–,–,4.96,–,516000000,166000000,7700000,–,–
W310X226,0.22600,28800,348,318,–,22.1,–,–,–,4.46,–,595000000,189000000,10700000,–,–
W310X253,0.25300,32300,356,320,–,24.4,–,–,–,4.03,–,687000000,215000000,14800000,–,–
W310X283,0.28300,36100,366,323,–,26.9,–,–,–,3.65,–,787000000,245000000,20300000,–,–
W310X313,0.31300,39900,373,325,–,30.0,–,–,–,3.37,–,891000000,276000000,26900000,–,–
W310X342,0.34200,43700,384,328,–,32.8,–,–,–,3.11,–,1010000000,309000000,34900000,–,–
W310X375,0.37500,47800,391,330,–,35.6,–,–,–,2.89,–,1130000000,345000000,45000000,–,–
W310X415,0.41500,52800,404,333,–,38.9,–,–,–,2.66,–,1290000000,390000000,59500000,–,–
W310X454,0.45400,57700,414,335,–,41.4,–,–,–,2.45,–,1480000000,437000000,77000000,–,–
W310X500,0.50000,63800,427,340,–,45.2,–,–,–,2.26,–,1690000000,495000000,101000000,–,–
