Section,Massa,d,bf,tw,tf,h,d',Area,Ix,Wx,rx,Zx,Iy,Wy,ry,Zy
W 150 x 13.0,0.013,148,100,4.3,4.9,138,118,1660,6350000,85800,61.8,96400,820000,16400,22.2,25500
W 150 x 18.0,0.018,153,102,5.8,7.1,139,119,2340,9390000,122800,63.4,139400,1260000,24700,23.2,38500
W 150 x 22.5,0.0225,152,152,5.8,6.6,139,119,2900,12290000,161700,65.1,179600,3870000,50900,36.5,77900
W 150 x 24.0,0.024,160,102,6.6,10.3,139,115,3150,13840000,173000,66.3,197600,1830000,35900,24.1,55800
W 150 x 29.8,0.0298,157,153,6.6,9.3,138,118,3850,17390000,221500,67.2,247500,5560000,72600,38,110800
W 150 x 37.1,0.0371,162,154,8.1,11.6,139,119,4780,22440000,277000,68.5,313500,7070000,91800,38.4,140400
W 200 x 15.0,0.015,200,100,4.3,5.2,190,170,1940,13050000,130500,82,147900,870000,17400,21.2,27300
W 200 x 19.3,0.0193,203,102,5.8,6.5,190,170,2510,16860000,166100,81.9,190600,1160000,22700,21.4,35900
W 200 x 22.5,0.0225,206,102,6.2,8,190,170,2900,20290000,197000,83.7,225500,1420000,27900,22.2,43900
W 200 x 26.6,0.0266,207,133,5.8,8.4,190,170,3420,26110000,252300,87.3,282300,3300000,49600,31,76300
W 200 x 31.3,0.0313,210,134,6.4,10.2,190,170,4030,31680000,301700,88.6,338600,4100000,61200,31.9,94000
W 200 x 35.9,0.0359,201,165,6.2,10.2,181,161,4570,34370000,342000,86.7,379200,7640000,92600,40.9,141000
W 200 x 41.7,0.0417,205,166,7.2,11.8,181,157,5350,41140000,401400,87.7,448600,9010000,108500,41,165700
W 200 x 46.1,0.0461,203,203,7.2,11,181,161,5860,45430000,447600,88.1,495300,15350000,151200,51.2,229500
W 200 x 52.0,0.052,206,204,7.9,12.6,181,157,6690,52980000,514400,89,572500,17840000,174900,51.6,265800
HP 200 x 53.0,0.053,204,207,11.3,11.3,181,161,6810,49770000,488000,85.5,551300,16730000,161700,49.6,248600
W 200 x 59.0,0.059,210,205,9.1,14.2,182,158,7600,61400000,584800,89.9,655900,20410000,199100,51.8,303000
W 200 x 71.0,0.071,216,206,10.2,17.4,181,161,9100,76600000,709200,91.7,803200,25370000,246300,52.8,374500
W 200 x 86.0,0.086,222,209,13,20.6,181,157,11090,94980000,855700,92.6,984200,31390000,300400,53.2,458700
W 200 x 100.0,0.1,229,210,14.5,23.7,182,158,12710,113550000,991700,94.5,1152200,36640000,349000,53.7,533400
W 250 x 17.9,0.0179,251,101,4.8,5.3,240,220,2310,22910000,182600,99.6,211000,910000,18100,19.9,28800
W 250 x 22.3,0.0223,254,102,5.8,6.9,240,220,2890,29390000,231400,100.9,267700,1230000,24100,20.6,38400
W 250 x 25.3,0.0253,257,102,6.1,8.4,240,220,3260,34730000,270200,103.1,311100,1490000,29300,21.4,46400
W 250 x 28.4,0.0284,260,102,6.4,10,240,220,3660,40460000,311200,105.1,357300,1780000,34800,22,54900
W 250 x 32.7,0.0327,258,146,6.1,9.1,240,220,4210,49370000,382700,108.3,428500,4730000,64800,33.5,99700
W 250 x 38.5,0.0385,262,147,6.6,11.2,240,220,4960,60570000,462400,110.5,517800,5940000,80800,34.6,124100
W 250 x 44.8,0.0448,266,148,7.6,13,240,220,5760,71580000,538200,111.5,606300,7040000,95100,35,146400
HP 250 x 62.0,0.062,246,256,10.5,10.7,225,201,7960,87280000,709600,104.7,790500,29950000,234000,61.3,357800
W 250 x 73.0,0.073,253,254,8.6,14.2,225,201,9270,112570000,889900,110.2,983300,38800000,305500,64.7,463100
W 250 x 80.0,0.08,256,255,9.4,15.6,225,201,10190,125500000,980500,111,1088700,43130000,338300,65.1,513100
HP 250 x 85.0,0.085,254,260,14.4,14.4,225,201,10850,122800000,966900,106.4,1093200,42250000,325000,62.4,499600
W 250 x 89.0,0.089,260,256,10.7,17.3,225,201,11390,142370000,1095100,111.8,1224400,48410000,378200,65.2,574300
W 250 x 101.0,0.101,264,257,11.9,19.6,225,201,12870,163520000,1238800,112.7,1395000,55490000,431800,65.7,656300
W 250 x 115.0,0.115,269,259,13.5,22.1,225,201,14610,189200000,1406700,113.8,1597400,64050000,494600,66.2,752700
