ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,BIM ID
1,2,1,56.50422413057895,-6.891942532677396e-14,58.0708661417323,42.72469657152383,-2.4784372361375336e-14,58.07086614173226,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398273
2,3,1,49.614460351051385,-4.685189884407463e-14,50.196850393700785,42.724696571523836,-2.478437236137535e-14,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398271
3,3,2,49.61446035105139,-4.685189884407465e-14,50.196850393700785,56.50422413057894,-6.915512787236157e-14,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1397369
4,4,1,40.756192634515955,-1.8479364794889846e-14,41.33858267716535,42.724696571523836,-2.4784372361375383e-14,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398270
5,5,2,58.47272806758682,-7.552747902330074e-14,41.33858267716535,56.50422413057895,-6.915512787236162e-14,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1397291
6,3,4,49.61446035105138,-4.6851898844074614e-14,50.196850393700785,40.756192634515955,-1.8479364794889792e-14,41.33858267716533,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398272
7,3,5,49.6144603510514,-4.6851898844074665e-14,50.196850393700785,58.47272806758682,-7.552747902330073e-14,41.33858267716533,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1397403
8,6,4,49.614460351051385,-4.685189884407462e-14,33.13648293963254,40.756192634515955,-1.847936479488982e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398269
9,6,5,49.61446035105139,-4.685189884407465e-14,33.13648293963254,58.47272806758682,-7.552747902330074e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1397204
10,7,4,39.1157726870094,-1.3225191822818542e-14,22.965879265091857,40.75619263451596,-1.8479364794889868e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398268
11,8,5,60.11314801509338,-8.083777164908333e-14,22.965879265091857,58.472728067586814,-7.552747902330074e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1397166
12,7,6,39.1157726870094,-1.3225191822818562e-14,22.965879265091857,49.614460351051385,-4.685189884407464e-14,33.13648293963254,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398267
13,8,6,60.11314801509338,-8.083777164908333e-14,22.965879265091857,49.61446035105139,-4.685189884407465e-14,33.13648293963254,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1397131
14,9,7,49.61446035105138,-4.6851898844074614e-14,12.795275590551173,39.11577268700939,-1.3225191822818539e-14,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398266
15,9,8,49.61446035105139,-4.6851898844074646e-14,12.795275590551173,60.11314801509338,-8.083777164908333e-14,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1397085
16,10,7,37.47535273950283,-7.9710188507473e-15,-1.5124812909761407e-15,39.1157726870094,-1.32251918228186e-14,22.96587926509186,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398265
17,11,8,61.75356796259994,-8.614806427486593e-14,-3.4445092012735794e-15,60.11314801509337,-8.083777164908333e-14,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1397055
18,10,9,37.47535273950283,-7.971018850747325e-15,-1.251891961015112e-15,49.614460351051385,-4.6851898844074665e-14,12.795275590551174,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1398264
19,11,9,61.75356796259994,-8.614806427486593e-14,-3.1839198713125524e-15,49.614460351051385,-4.685189884407465e-14,12.795275590551173,W 250x17.9,Beam,AÇO ASTM - A572 GR50,1396883
